iteration(log10) 	error(log10)
400	-2.58229
401	-2.58817
402	-2.59405
403	-2.59993
404	-2.60581
405	-2.61169
406	-2.61757
407	-2.62345
408	-2.62933
409	-2.63521
410	-2.6411
411	-2.64698
412	-2.65286
413	-2.65874
414	-2.66462
415	-2.6705
416	-2.67638
417	-2.68226
418	-2.68814
419	-2.69402
420	-2.6999
421	-2.70578
422	-2.71166
423	-2.71754
424	-2.72342
425	-2.7293
426	-2.73518
427	-2.74106
428	-2.74694
429	-2.75282
430	-2.7587
431	-2.76458
432	-2.77046
433	-2.77634
434	-2.78222
435	-2.7881
436	-2.79398
437	-2.79986
438	-2.80574
439	-2.81162
440	-2.8175
441	-2.82338
442	-2.82926
443	-2.83514
444	-2.84102
445	-2.8469
446	-2.85278
447	-2.85866
448	-2.86454
449	-2.87042
450	-2.8763
451	-2.88218
452	-2.88806
453	-2.89394
454	-2.89982
455	-2.90569
456	-2.91157
457	-2.91745
458	-2.92333
459	-2.92921
460	-2.93509
461	-2.94097
462	-2.94685
463	-2.95273
464	-2.95861
465	-2.96449
466	-2.97037
467	-2.97625
468	-2.98213
469	-2.98801
470	-2.99389
471	-2.99977
472	-3.00565
473	-3.01153
474	-3.01741
475	-3.02329
476	-3.02916
477	-3.03504
478	-3.04092
479	-3.0468
480	-3.05268
481	-3.05856
482	-3.06444
483	-3.07032
484	-3.0762
485	-3.08208
486	-3.08796
487	-3.09384
488	-3.09972
489	-3.1056
490	-3.11148
491	-3.11735
492	-3.12323
493	-3.12911
494	-3.13499
495	-3.14087
496	-3.14675
497	-3.15263
498	-3.15851
499	-3.16439
500	-3.17027
501	-3.17615
502	-3.18203
503	-3.18791
504	-3.19378
505	-3.19966
506	-3.20554
507	-3.21142
508	-3.2173
509	-3.22318
510	-3.22906
511	-3.23494
512	-3.24082
513	-3.2467
514	-3.25258
515	-3.25845
516	-3.26433
517	-3.27021
518	-3.27609
519	-3.28197
520	-3.28785
521	-3.29373
522	-3.29961
523	-3.30549
524	-3.31137
525	-3.31725
526	-3.32312
527	-3.329
528	-3.33488
529	-3.34076
530	-3.34664
531	-3.35252
532	-3.3584
533	-3.36428
534	-3.37016
535	-3.37604
536	-3.38191
537	-3.38779
538	-3.39367
539	-3.39955
540	-3.40543
541	-3.41131
542	-3.41719
543	-3.42307
544	-3.42895
545	-3.43483
546	-3.4407
547	-3.44658
548	-3.45246
549	-3.45834
