iteration(log10) 	error(log10)
399	-4.4793
400	-4.48526
401	-4.49122
402	-4.49719
403	-4.50315
404	-4.50912
405	-4.51508
406	-4.52104
407	-4.52701
408	-4.53297
409	-4.53894
410	-4.5449
411	-4.55086
412	-4.55683
413	-4.56279
414	-4.56876
415	-4.57472
416	-4.58068
417	-4.58665
418	-4.59261
419	-4.59858
420	-4.60454
421	-4.6105
422	-4.61647
423	-4.62243
424	-4.6284
425	-4.63436
426	-4.64032
427	-4.64629
428	-4.65225
429	-4.65822
430	-4.66418
431	-4.67014
432	-4.67611
433	-4.68207
434	-4.68803
435	-4.694
436	-4.69996
437	-4.70593
438	-4.71189
439	-4.71785
440	-4.72382
441	-4.72978
442	-4.73575
443	-4.74171
444	-4.74767
445	-4.75364
446	-4.7596
447	-4.76557
448	-4.77153
449	-4.77749
450	-4.78346
451	-4.78942
452	-4.79539
453	-4.80135
454	-4.80731
455	-4.81328
456	-4.81924
457	-4.82521
458	-4.83117
459	-4.83713
460	-4.8431
461	-4.84906
462	-4.85503
463	-4.86099
464	-4.86695
465	-4.87292
466	-4.87888
467	-4.88485
468	-4.89081
469	-4.89677
470	-4.90274
471	-4.9087
472	-4.91467
473	-4.92063
474	-4.92659
475	-4.93256
476	-4.93852
477	-4.94449
478	-4.95045
479	-4.95641
480	-4.96238
481	-4.96834
482	-4.97431
483	-4.98027
484	-4.98623
485	-4.9922
486	-4.99816
487	-5.00413
488	-5.01009
489	-5.01605
490	-5.02202
491	-5.02798
492	-5.03395
493	-5.03991
494	-5.04587
495	-5.05184
496	-5.0578
497	-5.06377
498	-5.06973
499	-5.07569
500	-5.08166
501	-5.08762
502	-5.09359
503	-5.09955
504	-5.10551
505	-5.11148
506	-5.11744
507	-5.12341
508	-5.12937
509	-5.13533
510	-5.1413
511	-5.14726
512	-5.15322
513	-5.15919
514	-5.16515
515	-5.17112
516	-5.17708
517	-5.18304
518	-5.18901
519	-5.19497
520	-5.20094
521	-5.2069
522	-5.21286
523	-5.21883
524	-5.22479
525	-5.23076
526	-5.23672
527	-5.24268
528	-5.24865
529	-5.25461
530	-5.26058
531	-5.26654
532	-5.2725
533	-5.27847
534	-5.28443
535	-5.2904
536	-5.29636
537	-5.30232
538	-5.30829
539	-5.31425
540	-5.32022
541	-5.32618
542	-5.33214
543	-5.33811
544	-5.34407
545	-5.35004
546	-5.356
547	-5.36196
548	-5.36793
549	-5.37389
550	-5.37986
551	-5.38582
552	-5.39178
553	-5.39775
554	-5.40371
555	-5.40968
556	-5.41564
557	-5.4216
558	-5.42757
559	-5.43353
560	-5.4395
561	-5.44546
562	-5.45142
563	-5.45739
564	-5.46335
565	-5.46932
566	-5.47528
567	-5.48124
568	-5.48721
569	-5.49317
570	-5.49914
571	-5.5051
572	-5.51106
573	-5.51703
574	-5.52299
575	-5.52896
576	-5.53492
577	-5.54088
578	-5.54685
579	-5.55281
580	-5.55878
581	-5.56474
582	-5.5707
583	-5.57667
584	-5.58263
