iteration(log10) 	error(log10)
399	-1.73125
400	-1.73424
401	-1.73723
402	-1.74022
403	-1.74321
404	-1.74621
405	-1.7492
406	-1.75219
407	-1.75518
408	-1.75817
409	-1.76116
410	-1.76415
411	-1.76714
412	-1.77013
413	-1.77312
414	-1.77611
415	-1.7791
416	-1.78209
417	-1.78508
418	-1.78807
419	-1.79106
420	-1.79405
421	-1.79704
422	-1.80003
423	-1.80302
424	-1.80601
425	-1.809
426	-1.81199
427	-1.81498
428	-1.81797
429	-1.82096
430	-1.82395
431	-1.82694
432	-1.82993
433	-1.83292
434	-1.83591
435	-1.8389
436	-1.84189
437	-1.84488
438	-1.84787
439	-1.85086
440	-1.85385
441	-1.85684
442	-1.85983
443	-1.86282
444	-1.86581
445	-1.8688
446	-1.87179
447	-1.87478
448	-1.87777
449	-1.88076
450	-1.88375
451	-1.88674
452	-1.88972
453	-1.89271
454	-1.8957
455	-1.89869
456	-1.90168
457	-1.90467
458	-1.90766
459	-1.91065
460	-1.91364
461	-1.91663
462	-1.91962
463	-1.92261
464	-1.9256
465	-1.92859
466	-1.93158
467	-1.93457
468	-1.93755
469	-1.94054
470	-1.94353
471	-1.94652
472	-1.94951
473	-1.9525
474	-1.95549
475	-1.95848
476	-1.96147
477	-1.96446
478	-1.96745
479	-1.97044
480	-1.97343
481	-1.97642
482	-1.9794
483	-1.98239
484	-1.98538
485	-1.98837
486	-1.99136
487	-1.99435
488	-1.99734
489	-2.00033
490	-2.00332
491	-2.00631
492	-2.0093
493	-2.01229
494	-2.01527
495	-2.01826
496	-2.02125
497	-2.02424
498	-2.02723
499	-2.03022
500	-2.03321
501	-2.0362
502	-2.03919
503	-2.04218
504	-2.04517
505	-2.04816
506	-2.05114
507	-2.05413
508	-2.05712
509	-2.06011
510	-2.0631
511	-2.06609
512	-2.06908
513	-2.07207
514	-2.07506
515	-2.07805
516	-2.08104
517	-2.08402
518	-2.08701
519	-2.09
520	-2.09299
521	-2.09598
522	-2.09897
523	-2.10196
524	-2.10495
525	-2.10794
526	-2.11093
527	-2.11392
528	-2.11691
529	-2.11989
530	-2.12288
531	-2.12587
532	-2.12886
533	-2.13185
534	-2.13484
535	-2.13783
536	-2.14082
537	-2.14381
538	-2.1468
539	-2.14979
540	-2.15278
541	-2.15577
542	-2.15875
543	-2.16174
544	-2.16473
545	-2.16772
546	-2.17071
547	-2.1737
548	-2.17669
549	-2.17968
550	-2.18267
551	-2.18566
552	-2.18865
553	-2.19164
554	-2.19463
555	-2.19761
556	-2.2006
557	-2.20359
558	-2.20658
559	-2.20957
560	-2.21256
561	-2.21555
562	-2.21854
563	-2.22153
564	-2.22452
565	-2.22751
566	-2.2305
567	-2.23349
568	-2.23648
569	-2.23947
570	-2.24245
571	-2.24544
572	-2.24843
573	-2.25142
574	-2.25441
575	-2.2574
576	-2.26039
577	-2.26338
578	-2.26637
579	-2.26936
580	-2.27235
581	-2.27534
582	-2.27833
583	-2.28132
584	-2.28431
585	-2.2873
586	-2.29029
587	-2.29327
588	-2.29626
589	-2.29925
590	-2.30224
591	-2.30523
592	-2.30822
593	-2.31121
594	-2.3142
595	-2.31719
596	-2.32018
597	-2.32317
598	-2.32616
599	-2.32915
600	-2.33214
601	-2.33513
602	-2.33812
603	-2.34111
604	-2.3441
605	-2.34709
606	-2.35008
607	-2.35307
608	-2.35605
609	-2.35904
610	-2.36203
611	-2.36502
612	-2.36801
613	-2.371
614	-2.37399
615	-2.37698
616	-2.37997
617	-2.38296
618	-2.38595
619	-2.38894
620	-2.39193
621	-2.39492
622	-2.39791
623	-2.4009
624	-2.40389
625	-2.40688
626	-2.40987
627	-2.41286
628	-2.41585
629	-2.41884
630	-2.42183
631	-2.42482
632	-2.42781
633	-2.4308
634	-2.43379
635	-2.43678
636	-2.43977
637	-2.44276
638	-2.44575
639	-2.44874
640	-2.45173
641	-2.45472
642	-2.45771
643	-2.4607
644	-2.46368
645	-2.46667
646	-2.46966
647	-2.47265
648	-2.47564
649	-2.47863
650	-2.48162
651	-2.48461
652	-2.4876
653	-2.49059
654	-2.49358
655	-2.49657
656	-2.49956
657	-2.50255
658	-2.50554
659	-2.50853
660	-2.51152
661	-2.51451
662	-2.5175
663	-2.52049
664	-2.52348
665	-2.52647
666	-2.52946
667	-2.53245
668	-2.53544
669	-2.53843
670	-2.54142
671	-2.54441
672	-2.5474
673	-2.55039
674	-2.55338
675	-2.55637
676	-2.55936
677	-2.56235
678	-2.56534
679	-2.56833
680	-2.57132
681	-2.57431
682	-2.5773
683	-2.58029
684	-2.58328
685	-2.58627
686	-2.58926
687	-2.59225
688	-2.59524
689	-2.59823
690	-2.60122
691	-2.60421
692	-2.6072
693	-2.6102
694	-2.61319
695	-2.61618
696	-2.61917
697	-2.62216
698	-2.62515
699	-2.62814
700	-2.63113
701	-2.63412
702	-2.63711
703	-2.6401
704	-2.64309
705	-2.64608
706	-2.64907
707	-2.65206
708	-2.65505
709	-2.65804
710	-2.66103
711	-2.66402
712	-2.66701
713	-2.67
714	-2.67299
715	-2.67598
716	-2.67897
717	-2.68196
718	-2.68495
719	-2.68794
720	-2.69093
721	-2.69392
722	-2.69691
723	-2.6999
724	-2.70289
725	-2.70588
726	-2.70887
727	-2.71186
